AUROC:r_sigma(per_video),AUPR:r_sigma(per_video)
0.983,0.492
0.938,0.167
0.974,0.521
0.934,0.144
0.941,0.371
0.93,0.121
0.95,0.431
0.972,0.253
0.965,0.481
0.895,0.411
0.988,0.71
0.953,0.434
0.956,0.326
0.944,0.301
0.938,0.151
0.967,0.537
0.978,0.295
0.953,0.201
0.936,0.155
0.947,0.142
0.955,0.218
0.938,0.191
0.949,0.152
0.961,0.829
0.961,0.314
0.992,0.743
0.988,0.687
0.933,0.518
0.894,0.573
0.977,0.281
0.987,0.824
0.999,0.956
0.997,0.938
0.999,0.987
0.95,0.576
Average (Std),
0.96(0.03),0.44(0.26)
