AUROC:x_std(per_video),AUPR:x_std(per_video)
0.963,0.368
0.951,0.337
0.982,0.795
0.939,0.127
0.913,0.142
0.914,0.104
0.949,0.473
0.978,0.274
0.969,0.578
0.949,0.488
0.994,0.818
0.974,0.572
0.962,0.49
0.946,0.438
0.934,0.144
0.948,0.321
0.975,0.352
0.953,0.187
0.928,0.141
0.934,0.119
0.953,0.211
0.926,0.156
0.96,0.188
0.988,0.88
0.976,0.436
0.996,0.792
0.971,0.523
0.969,0.551
0.932,0.265
0.978,0.628
0.991,0.836
0.998,0.933
0.997,0.94
0.996,0.855
0.985,0.535
Average (Std),
0.96(0.02),0.46(0.26)
